"name","year","count"
"NYLA","2014","1"
"DESTINY","2014","1"
"MADIGAN","2014","1"
"KITKAT","2014","1"
"OLIEBOL","2014","1"
"ZIPPY","2014","1"
"NUCKY","2014","1"
"BENSON","2014","1"
"THEODORE","2014","1"
"LOIS","2014","1"
"MAGICK","2014","1"
"RITA","2014","1"
"KIMBA","2014","1"
"CECILY","2014","1"
"WADADLI","2014","1"
"BLACKY","2014","1"
"WOODY","2014","1"
"BLACKIE","2014","1"
"BUCKLEY","2014","1"
"FLASH","2014","1"
"TANUKI","2014","1"
"BRODY","2014","1"
"ANELA","2014","1"
"LOVEY","2014","1"
"SHUGA","2014","1"
"SHULA","2014","1"
"SIMON","2014","1"
"ALLIE","2014","1"
"STEWIE","2014","1"
"THEO","2014","1"
"WOLFGANG","2014","1"
"RUDY","2014","1"
"BUCKS","2014","1"
"MAYBELLENE","2014","1"
"LARRY","2014","1"
"SHANTY","2014","1"
"MUNECA","2014","1"
"GRAYSON","2014","1"
"VALENTINE","2014","1"
"MUNCHIE","2014","1"
"WENDELL","2014","1"
"JORGE","2014","1"
"IAN","2014","1"
"HAGLER","2014","1"
"AUDREY","2014","1"
"SHARKY","2014","1"
"TCC","2014","1"
"SYNAMIN","2014","1"
"NIKKO","2014","1"
"JET","2014","1"
"TIGER","2014","1"
"AUGUSTUS","2014","1"
"NICKY","2014","1"
"DEACON","2014","1"
"QQ","2014","1"
"ELI","2014","1"
"NAKIA","2014","1"
"ROCKO","2014","1"
"M","2014","1"
"SOONI","2014","1"
"RIVER","2014","1"
"HUDSON","2014","1"
"MORICA","2014","1"
"SWEETP","2014","1"
"HEFNER","2014","1"
"SOLO","2014","1"
"STANLEY","2014","1"
"STORM","2014","1"
"ZAPPA","2014","1"
"PERLA","2014","1"
"ADELINE","2014","1"
"STAVI","2014","1"
"CUTIE","2014","1"
"QUEENIE","2014","1"
"MINNIE","2014","1"
"MO","2014","1"
"NEVYN","2014","1"
"BONNILYN","2014","1"
"LEE","2014","1"
"MAJOR","2014","1"
"NOEL","2014","1"
"JOSH","2014","1"
"CARLEY","2014","1"
"RUGBY","2014","1"
"KEKE","2014","1"
"LAMBO","2014","1"
"AVA","2014","1"
"GRENDEL","2014","1"
"LOGAN","2014","1"
"RUPERT","2014","1"
"OBI","2014","1"
"BEDELIA","2014","1"
"HUMFREY","2014","1"
"SOX","2014","1"
"COTTON","2014","1"
"JAX","2014","1"
"KATO","2014","1"
"TELA","2014","1"
"HARPER","2014","1"
"JENNY","2014","1"
"BAYLEY","2014","1"
"HARRY","2014","1"
"MOLLY-MUFFIN","2014","1"
"MUFFIN","2014","1"
"CALLIE","2014","1"
"LISSY","2014","1"
"BRAILEE","2014","1"
"MOCHA","2014","1"
"JOSHUA","2014","1"
"BEEZIE","2014","1"
"MILKTEA","2014","1"
"MONA","2014","1"
"ENOLA","2014","1"
"AJA","2014","1"
"XENA","2014","1"
"PETTITTE","2014","1"
"RUFUS","2014","1"
"KENZI","2014","1"
"ROSCO","2014","1"
"BONNIEBELLE","2014","1"
"TOOTSIE","2014","1"
"JICKY","2014","1"
"MIKE","2014","1"
"CUPCAKE","2014","1"
"ROOSEVELT","2014","1"
"LEAH","2014","1"
"B","2014","1"
"LOUP","2014","1"
"KATIE","2014","1"
"ROBESPIERRE","2014","1"
"SPREWELL","2014","1"
"BEN","2014","1"
"BESS","2014","1"
"CHAUNCEY","2014","1"
"RAYNA","2014","1"
"TIGGER","2014","1"
"KATE","2014","1"
"BIGS","2014","1"
"HENDRIX","2014","1"
"SHASHI","2014","1"
"BUNNI","2014","1"
"POKEY","2014","1"
"MARIO","2014","1"
"MR.","2014","1"
"CYPHA","2014","1"
"SNOOPY","2014","1"
"MARTY","2014","1"
"SABA","2014","1"
"VALENTINA","2014","1"
"LOL","2014","1"
"REMY","2014","1"
"TESLA","2014","1"
"GORDY","2014","1"
"KODIE","2014","1"
"ASPEN","2014","1"
"EVEYLYN","2014","1"
"SENSATION","2014","1"
"POLLIE","2014","1"
"BOURNE","2014","1"
"HOWIE","2014","1"
"LOUIS","2014","1"
"TRAVIS","2014","1"
"IGUAZU","2014","1"
"BAGHEERA","2014","1"
"BIANCA","2014","1"
"ZACK","2014","1"
"DULCE","2014","1"
"JAZZABELLE","2014","1"
"MAEBEL","2014","1"
"SAMMIE","2014","1"
"BUBBA","2014","1"
"QUINCY","2014","1"
"BLYTHE","2014","1"
"BARNEY","2014","1"
"DUSTY","2014","1"
"NEWTON","2014","1"
"MAIMOUNA","2014","1"
"BIANCO","2014","1"
"SUSIE","2014","1"
"REGGIE","2014","1"
"SHERRIE","2014","1"
"DEBO","2014","1"
"KELSEY","2014","1"
"WATTS","2014","1"
"DASHIELL","2014","1"
"SEYMOUR","2014","1"
"RA","2014","1"
"LEMMY","2014","1"
"WAXEY","2014","1"
"HAPPI","2014","1"
"ZION","2014","1"
"SEAVER","2014","1"
"BUTCH","2014","1"
"NACHO","2014","1"
"BRUISER","2014","1"
"PHOENXI","2014","1"
"LITTLEROCK","2014","1"
"MOJA","2014","1"
"MISCHA","2014","1"
"RO","2014","1"
"GINGER","2014","1"
"WALTER","2014","1"
"GOBI","2014","1"
"LOCA","2014","1"
"CHRISTOPHER","2014","1"
"BENNIE","2014","1"
"KYUUBI","2014","1"
"ABBEY","2014","1"
"SHEBA","2014","1"
"CONAN","2014","1"
"TED","2014","1"
"DEMI","2014","1"
"RAMIRO","2014","1"
"CHRISTMAS","2014","1"
"LILAH","2014","1"
"EZE","2014","1"
"LAZIE","2014","1"
"BREEZY","2014","1"
"ROSA","2014","1"
"LYNUS","2014","1"
"ZOLA","2014","1"
"KUMBUKA","2014","1"
"SHIRLEY","2014","1"
"BOWSER","2014","1"
"HUTCH","2014","1"
"EMELIA","2014","1"
"CUPCAKES","2014","1"
"JAXSON","2014","1"
"BLACE","2014","1"
"BOOGIE","2014","1"
"DAX","2014","1"
"TIA","2014","1"
"KAISER","2014","1"
"TWYLA","2014","1"
"CLANCY","2014","1"
"SUKI","2014","1"
"KIPPER","2014","1"
"BARTHOLOMEW","2014","1"
"PATCH","2014","1"
"PEDRO","2014","1"
"WALTER-MELON","2014","1"
"CYCLOPSE","2014","1"
"SUGAR","2014","1"
"JAMPY","2014","1"
"JESSIE","2014","1"
"BOOBOO","2014","1"
"SKIPPY","2014","1"
"MISS","2014","1"
"OZ","2014","1"
"DASH","2014","1"
"FIEVEL","2014","1"
"LEGO","2014","1"
"GINNY","2014","1"
"IVANA","2014","1"
"FRENCHIE","2014","1"
"LITTLE","2014","1"
"NINI","2014","1"
"BIGGIE","2014","1"
"MAXINE","2014","1"
"RINGO","2014","1"
"XIAO","2014","1"
"AJ","2014","1"
"ZOSYA","2014","1"
"OKLY","2014","1"
"LUCHIOUS","2014","1"
"CHELSEA","2014","1"
"PAUDY","2014","1"
"BARNABEE","2014","1"
"PUCCINI","2014","1"
"SPUDS","2014","1"
"HUNDLEY","2014","1"
"FELLA","2014","1"
"PIRULO","2014","1"
"INDIGO","2014","1"
"HUMPHREY","2014","1"
"LAH-LAH","2014","1"
"RAWLY","2014","1"
"SOPHI","2014","1"
"PAPI","2014","1"
"KOOPA","2014","1"
"PEDRITO","2014","1"
"EMILY","2014","1"
"BENZO","2014","1"
"CHANTILLY","2014","1"
"COPPER","2014","1"
"CHAPMAN","2014","1"
"JONES","2014","1"
"KATY","2014","1"
"ZAI","2014","1"
"FLUFFY","2014","1"
"HENRIK","2014","1"
"SCARLET","2014","1"
"ROSS","2014","1"
"KAYA","2014","1"
"LIBBY","2014","1"
"WEEZY","2014","1"
"DJANGO","2014","1"
"BRIAN","2014","1"
"GAGE","2014","1"
"ALFIE","2014","1"
"MILLIE","2014","1"
"LINDA","2014","1"
"WILLIE","2014","1"
"NEKO","2014","1"
"ELIZABETH","2014","1"
"SYLVIA","2014","1"
"TITUS","2014","1"
"WILLIS","2014","1"
"BUTTERS","2014","1"
"MORGAN","2014","1"
"LOU","2014","1"
"MIKHAIL","2014","1"
"ADAMA","2014","1"
"TATUM","2014","1"
"JOSIE","2014","1"
